"","line","yield","location","set"
"451","BETAGENE",117.326,"was","2017_2016"
"452","COLT",100.2332,"was","2017_2016"
"453","CS_CAMDEN",111.3763,"was","2017_2016"
"454","DEON",111.9156,"was","2017_2016"
"455","ESKER",124.0054,"was","2017_2016"
"456","GOLIATH",115.8074,"was","2017_2016"
"457","HAYDEN",110.4276,"was","2017_2016"
"458","HORSEPOWER",86.5916,"was","2017_2016"
"459","JURY",98.2757,"was","2017_2016"
"460","MN11139",112.719,"was","2017_2016"
"461","MN11211",133.3678,"was","2017_2016"
"462","MNBT1020-1",134.2121,"was","2017_2016"
"463","MNBT1021-1",135.9384,"was","2017_2016"
"464","MNBT1021-2",135.0581,"was","2017_2016"
"465","NATTY",125.6405,"was","2017_2016"
"466","NEWBURG",91.5272,"was","2017_2016"
"467","REINS",121.8382,"was","2017_2016"
"468","ROCKFORD",75.506,"was","2017_2016"
"469","RON",124.3412,"was","2017_2016"
"470","SABER",129.1447,"was","2017_2016"
"471","SHELBY_427",101.9218,"was","2017_2016"
"472","SOURIS",81.9081,"was","2017_2016"
"473","STREAKER",74.5989,"was","2017_2016"
"474","mean",111.176379166667,"was","2017_2016"
"475","lsd0.1",11.58378,"was","2017_2016"
"476","BADGER",142.9305,"state","2017_2016"
"477","BETAGENE",148.7217,"state","2017_2016"
"478","COLT",124.1358,"state","2017_2016"
"479","CS_CAMDEN",148.8109,"state","2017_2016"
"480","DEON",158.073,"state","2017_2016"
"481","ESKER",141.3426,"state","2017_2016"
"482","GOLIATH",143.2623,"state","2017_2016"
"483","HAYDEN",155.8812,"state","2017_2016"
"484","HORSEPOWER",135.4463,"state","2017_2016"
"485","JURY",142.0008,"state","2017_2016"
"486","MN11139",145.3551,"state","2017_2016"
"487","MN11211",159.7252,"state","2017_2016"
"488","MNBT1020-1",159.4131,"state","2017_2016"
"489","MNBT1021-1",155.59,"state","2017_2016"
"490","MNBT1021-2",148.8359,"state","2017_2016"
"491","NATTY",148.7597,"state","2017_2016"
